SL NO |DIST|PROJ|CIRC|CENTREID|CENTRE CODE|CENTRE|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70
38|Bangalore|Bangalore central |Kuvempunagar 4th Circle|3774||OKALIPURA 2|1|0|1|1|0|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|0|0|0|0|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|0|0|0|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
39|Bangalore|Bangalore central |Kuvempunagar 4th Circle|30832||OKALIPURA 1|1|0|1|1|0|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|0|0|0|0|1|1|1|0|0|0|1|NA|NA|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
40|Bangalore|Bangalore central |Kuvempunagar 4th Circle|34002||OKALIPURA 3|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
41|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN001352|HOSSAHALLI|1|0|1|0|0|0|0|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
42|Bangalore|Bangalore central |Kuvempunagar 4th Circle|31089||RPC LAYOUT|1|0|1|0|1|0|1|0|1|0|0|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|0|1|0|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0
43|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN001203|THIMMENAHALLI(GOVINDRAJANAGAR)|1|0|1|1|0|1|1|1|1|1|1|1|0|0|0|1|0|1|1|1|0|0|0|0|0|0|1|1|1|1|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
44|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN001221|THIMMENAHALLI 2 (GOVINDRAJNAGAR)|1|0|1|1|0|1|1|1|1|1|1|1|0|0|1|1|0|1|1|1|1|0|0|0|0|0|1|1|1|1|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
45|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN002714|KANTEERAVA COLONY|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
46|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN002719|BHOVI COLONY|1|0|1|1|0|1|1|1|1|0|1|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
47|Bangalore|Bangalore central |Kuvempunagar 4th Circle|33997||RAMKRISHNA SEVA NAGAR|1|0|1|1|1|0|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
48|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN00888|NARAYANARAO COLONY|1|0|1|1|0|0|1|1|1|0|1|1|1|1|1|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0
49|Bangalore|Bangalore central |Kuvempunagar 4th Circle||AN00949|LAKSHMANRAO NAGAR|1|0|1|1|0|1|1|1|1|0|1|1|1|1|1|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
