School_Code|Building_Status|Tot_Clrooms|Classrooms_in_Good_Condition|Classrooms_require_major_repair|Classrooms_require_minor_repair|Other_rooms_in_Good_Cond|Other_rooms_need_major_rep|Other_rooms_need_minor_rep|Toilet_Common|Toilet_Boys|Toilet_Girls|Kitchen_Devices_Grant|Status_of_MDM|Computer_Aided_Learnin_Lab|Separate_Room_for_HeadMaster|Electricity|Boundary_Wall|Library_YN|PlayGround|Blackboard|Books_in_library|Drinking_Water|Medical_Checkup|Ramps|No_of_Computers|Male_Tch|Female_Tch|NoResp_Tch|Head_Teacher|Graduate_Teachers|Tch_with_professional_Qualification|Days_involved_in_non_tch_assgn|Teachers_involved_in_non_tch_assgn
29120901107|1|5|5|0|0|1|0|0|0|3|3|2|1|1|1|1|1|1|1|6|0|3|1|1|7|1|6|0|0|3|0|0|0
29170803202|3|3|0|0|3|1|0|0|0|1|1|1|3|2|2|1|3|1|1|3|1570|3|1|2|0|3|0|0|0|0|0|0|0
29060804903|3|2|1|1|0|0|0|0|0|1|2|1|3|2|2|1|1|1|1|2|250|3|1|2|0|4|0|0|0|0|0|0|0
29130315003|3|2|2|0|0|1|0|0|0|1|1|1|3|2|1|1|5|1|1|2|125|1|1|1|0|0|2|0|0|0|0|0|0
29030505016|3|3|3|0|0|0|0|0|0|1|1|1|3|2|1|3|5|1|1|2|115|1|1|1|0|0|2|0|0|0|0|0|0
29120301201|3|9|9|0|0|1|0|0|0|1|1|1|3|1|1|1|1|1|1|10|1440|3|2|2|2|2|4|0|0|0|0|0|0
29130204312|1|5|2|2|1|1|2|0|2|4|4|2|2|2|1|1|7|1|1|5|5000|3|1|2|0|4|1|0|0|0|1|0|0
29240107001|3|8|2|0|6|2|0|0|1|1|2|1|3|2|1|1|7|1|2|8|1466|3|1|1|0|3|2|0|0|0|0|22|2
29100801112|3|5|1|2|2|2|0|0|0|1|1|1|3|2|2|1|5|1|1|8|600|1|1|1|1|3|3|0|0|0|0|1|1
29060803301|3|6|4|2|0|2|1|0|0|1|1|1|3|2|1|1|7|1|1|5|150|3|1|2|0|2|2|0|0|0|4|3|1
29170701503|3|1|0|0|0|0|0|0|1|1|1|1|3|2|2|1|3|1|2|1|91|3|1|2|0|1|0|0|0|0|0|0|0
29250105601|3|3|1|0|0|0|0|0|0|2|2|1|3|2|1|1|3|1|1|5|2074|2|1|1|0|0|1|0|0|0|0|0|0
29230718502|3|1|0|1|0|0|0|0|0|1|1|1|3|2|2|1|5|1|2|2|372|3|1|2|0|0|3|0|0|0|0|0|0
29100209229|3|3|0|3|0|0|3|0|0|1|1|1|3|2|2|1|7|1|1|6|1279|2|1|1|0|2|7|0|0|0|1|246|8
29301406004|3|2|1|1|0|0|0|1|0|1|1|1|3|2|2|2|7|1|1|2|80|2|1|1|0|1|0|0|0|0|0|0|0
29280714201|3|5|5|0|0|1|0|0|1|1|1|2|3|2|1|1|1|2|2|5|0|4|1|2|2|2|2|0|0|0|0|0|0
29140406703|3|1|1|0|0|0|0|0|1|1|1|1|3|2|2|1|2|1|1|1|175|3|1|1|0|0|2|0|0|0|0|0|0
29290428201|3|6|5|1|0|1|0|0|0|1|1|1|3|2|2|1|5|1|1|6|2000|3|1|2|0|4|1|0|0|0|0|39|4
29130104401|3|8|4|4|0|0|4|4|1|1|1|1|3|1|1|1|5|1|1|14|1437|4|1|1|5|6|4|0|0|0|1|0|0
29190725601|3|2|2|0|0|0|0|0|0|2|1|1|3|2|2|1|4|1|1|2|574|3|1|1|0|1|1|0|0|0|0|0|0
29280501204|1|3|3|0|0|2|0|0|0|1|1|2|4|2|1|1|1|1|1|4|1380|3|1|2|0|5|1|0|0|0|2|0|0
29150219604|3|4|4|0|0|1|1|0|0|1|3|1|3|2|1|1|7|1|2|6|1744|2|1|1|0|0|2|0|0|0|0|0|0
29150106501|1|3|3|0|0|0|0|0|0|2|2|2|2|2|2|1|1|1|1|1|2030|3|1|2|6|7|1|0|0|0|0|0|0
29150601906|1|3|0|3|0|2|0|0|0|2|2|2|2|3|2|1|5|1|1|3|1822|1|1|2|0|6|1|0|0|0|0|0|0
29170203101|3|8|6|1|1|0|1|0|0|1|2|1|3|2|2|1|1|1|1|10|1463|4|1|2|0|1|3|0|0|0|0|0|0
29150429001|1|3|3|0|0|2|0|1|0|2|2|2|2|2|1|1|3|1|1|6|2015|3|1|2|0|5|1|0|0|0|1|0|0
29030804915|3|2|2|0|0|1|0|0|0|1|1|1|3|2|2|1|5|1|1|6|204|1|1|1|0|0|1|0|0|0|0|0|0
29320801807|3|1|0|1|0|0|0|1|0|1|1|2|3|2|2|1|5|1|2|2|404|3|1|2|0|0|1|0|0|0|0|0|0
29130307302|3|3|3|0|0|1|0|0|0|1|1|1|2|2|2|2|5|1|1|4|519|3|1|1|0|6|1|0|0|0|0|0|0
29031207201|3|4|3|1|0|0|0|0|0|1|1|2|3|2|2|1|5|1|2|3|100|1|1|1|0|3|0|0|0|0|0|0|0
