District_Name|School_Code|School_Name|Block_Name|Cluster_Name|Village_Name|Pincode
YADAGIRI|29330817201|GOVT HPS PERGARDODDI|SHORAPUR|KAKKERA|PEERGARDODDI|585285
YADAGIRI|29330817401|GOVT HPS PETH AMMAPUR|SHORAPUR|PETHAMMAPUR|PETH AMMAPUR|585224
YADAGIRI|29330817403|HPS SAGARNADU|SHORAPUR|PETHAMMAPUR|PETH AMMAPUR|585224
YADAGIRI|29330817406|LPS BASAVA CAMP|SHORAPUR|PETHAMMAPUR|PETH AMMAPUR|585224
YADAGIRI|29330811713|GLPS H.W. KEMBHAVI|SHORAPUR|KEMBHAVI|KEMBHAVI|585216
YADAGIRI|29330811715|GLPS SAI NAGAR KEMBHAVI|SHORAPUR|KEMBHAVI|KEMBHAVI|585216
YADAGIRI|29330817801|GOVT HPS RAJANKOLLUR|SHORAPUR|RAJANKOLUR|RAJANKOLLUR|585291
YADAGIRI|29330817802|GLPS RAJANKOLLUR CAMP|SHORAPUR|RAJANKOLUR|RAJANKOLLUR|585291
YADAGIRI|29330811719|GJC KEMBHAVI|SHORAPUR|KEMBHAVI|KEMBHAVI|585216
YADAGIRI|29330811720|GHS GIRLS KEMBHAVI|SHORAPUR|KEMBHAVI|KEMBHAVI|585216
YADAGIRI|29330811721|GHS URDU KEMBHAVI|SHORAPUR|KEMBHAVI|KEMBHAVI|585216
YADAGIRI|29330817805|GOVT LPS RAJANKOLLUR TANDA|SHORAPUR|RAJANKOLUR|RAJANKOLLUR|585291
YADAGIRI|29330817806|K R CHANAMMA (ENG) HPS RAJANKOLUR|SHORAPUR|RAJANKOLUR|RAJANKOLLUR|585291
YADAGIRI|29330821301|GOVT HPS YADALBHAVI|SHORAPUR|BANADODDI|YADALABHAVI|585285
YADAGIRI|29330819801|GOVT LPS SONAPUR|SHORAPUR|BALASHETTIHAL|SONAPUR|585291
YADAGIRI|29330819902|GOVT LPS SRINIVASPUR TANDA|SHORAPUR|VAJJAL|SRINIVASPUR TANDA|585215
YADAGIRI|29330821502|GOVT HPS YAKTAPUR|SHORAPUR|YAKTAPUR|YAKTHAPUR|585216
YADAGIRI|29331001902|GOVT HPS BELAGUNDI|YADGIR|SAIDAPUR|BELAGUNDA|585221
YADAGIRI|29331002001|GOVT LPS BHEEMANAHALLI|YADGIR|SAIDAPUR|BAMANAHALLI|585221
YADAGIRI|29330821504|GHS YEKTAPUR|SHORAPUR|YAKTAPUR|YAKTHAPUR|585216
YADAGIRI|29330821901|GOVT LPS YARKIHAL|SHORAPUR|MARANAL|YARKIHAL|585237
YADAGIRI|29330821902|AIDED YARAKIHAL TANDA|SHORAPUR|MARANAL|YARKIHAL|585237
YADAGIRI|29330822102|GOVT HS YEWOOR|SHORAPUR|MALLA (B)|YAWOOR|585309
YADAGIRI|29330822201|GOVT LPS YAWOOR S TANDA|SHORAPUR|MALLA (B)|YAWOOR S.TANDA|585309
YADAGIRI|29330822401|GOVT LPS KAMBAR TANDA|SHORAPUR|NAGANUR|KAMBAR TANDA|585309
YADAGIRI|29330822601|GOVT LPS VENKATPUR|SHORAPUR|SHORAPUR|VENKATAPUR|585223
YADAGIRI|29331002704|GLPS URDU CHANDARKI|YADGIR|PUTPAK|CHANDARKI|585214
YADAGIRI|29330822602|GOVT LPS SIBARABANDI|SHORAPUR|RUKMAPUR|VENKATAPUR|585290
YADAGIRI|29330822701|GOVT HPS KAVADIMATTI|SHORAPUR|Devapur|KAVADIMATTI|585224
YADAGIRI|29330822801|GOVT LPS HOSA SIDDAPURA|SHORAPUR|DEVARGONAL|HOSA SIDDAPURA|585220
YADAGIRI|29330823001|GOVT HPS  M BHOMMANA HALLI|SHORAPUR|YAKTAPUR|MUNIRA BHOMMANAHALLI|585216
YADAGIRI|29330823104|GOVT KANYA HPS URDU THIMMAPURA|SHORAPUR|RANGAMPETH|THIMMAPURA|585220
YADAGIRI|29330823106|GOVT LPS VADDARA COLONY|SHORAPUR|RANGAMPETH|THIMMAPURA|585220
YADAGIRI|29330823107|SRI JAGADGURU HPS THIMMAPURA|SHORAPUR|RANGAMPETH|THIMMAPURA|585220
YADAGIRI|29330824301|GOVT LPS JAMPARADODDI|SHORAPUR|MANJALAPUR|JAMPARADODDI|585285
YADAGIRI|29330833801|GLPS BANDIBIRAPPANDODDI|SHORAPUR|KARDAKAL|BANDIBIRAPPANDODDI|585216
YADAGIRI|29331000101|GOVT HPS ACHOLA|YADGIR|HEDGIMADRA|ACHOLA|585202
YADAGIRI|29331000102|GOVT LPS ACHOLA TANDA|YADGIR|HEDGIMADRA|ACHOLA|585202
YADAGIRI|29331003502|GHS EDLUR|YADGIR|AZALAPUR|EDLUR|585315
YADAGIRI|29331003601|GOVT MPS GAJARKOT|YADGIR|GAJARKOT|GAJARKOT|585214
YADAGIRI|29331000703|S.SIDDABASAVARUDHA SWAMY LPS|YADGIR|ARAKERA(K)|ARAKERA [K]|585321
YADAGIRI|29331000704|GOVT HS ARAKERA (K) (RMSA)|YADGIR|ARAKERA(K)|ARAKERA [K]|585321
YADAGIRI|29330819701|GOVT HPS SIDDAPUR [B]|SHORAPUR|DEVATKAL|SIDDAPUR B.|585215
YADAGIRI|29330821401|H PS YADIYAPUR|SHORAPUR|KEMBHAVI|YADIYALAPUR|585216
YADAGIRI|29330819702|LPS VALMIKI NAGAR SIDDAPUR(B) TQ SH|SHORAPUR|DEVATKAL|SIDDAPUR B.|585215
YADAGIRI|29331003702|GOVT HPS GHANAPUR|YADGIR|YELHERI|GHANAPUR|585321
YADAGIRI|29331003703|GOVT LPS NAVBURZ|YADGIR|YELHERI|GHANAPUR|585321
YADAGIRI|29331003801|GOVT HPS GONDADGI|YADGIR|SAIDAPUR|GONDADGI|585221
YADAGIRI|29331002902|GOVT HPS CHINNAKAR URDU|YADGIR|KONKAL|CHINNAKAR|585321
YADAGIRI|29331003002|GOVT LPS CHINTANHALLI TANDA|YADGIR|KANDAKOOR|CHINTANAHALLI|585321
YADAGIRI|29331003003|GOVT HPS CHINTANAHALLI|YADGIR|KANDAKOOR|CHINTANAHALLI|585321
YADAGIRI|29331001002|GOVT LPS BACHAWAR HOSA TANDA|YADGIR|HATTIKUNI|BACHAWAR|585202
YADAGIRI|29331001003|GLPS BACHAVAR HALE TANDA|YADGIR|HATTIKUNI|BACHAWAR|585202
YADAGIRI|29331001101|GOVT HPS BADDEPALLI|YADGIR|KADECHUR|BADDEPALLI|585221
YADAGIRI|29331001601|GOVT HPS BANDHALLI|YADGIR|HONAGERA|BANDHALLI|585201
YADAGIRI|29331002101|GOVT LPS BAMMARAL DODDI|YADGIR|KADECHUR|BAMARALDODDI|585221
YADAGIRI|29331002201|GOVT HPS BOMASHETTAHALLI|YADGIR|HEDGIMADRA|BAMASHETTIHAL|585202
YADAGIRI|29331002401|GOVT HPS BUDHUR|YADGIR|CHAPELTA|BUDUR|585214
YADAGIRI|29331003605|LPS HARIJANWADA GAJARKOT|YADGIR|GAJARKOT|GAJARKOT|585284
YADAGIRI|29331004604|LPS RAMUNAYAKA TANDA|YADGIR|HATTIKUNI|HATTIKUNI|585202
YADAGIRI|29331000208|GLPS ALLIPUR SANNA TANDA|YADGIR|ALLIPUR|ALLIPUR|585202
YADAGIRI|29331000302|GOVT. HS ANAPUR|YADGIR|ANPUR|ANAPUR|585321
YADAGIRI|29331000303|GOVT LPS URDU ANAPUR|YADGIR|ANPUR|ANAPUR|585321
YADAGIRI|29331003606|GHS GAJARKOT|YADGIR|GAJARKOT|GAJARKOT|585214
YADAGIRI|29331000903|GHS  AJALAPUR|YADGIR|AZALAPUR|AZALAPUR|585315
YADAGIRI|29331001001|GOVT HPS BACHAWAR|YADGIR|HATTIKUNI|BACHAWAR|585218
YADAGIRI|29331001102|GOVT HPS BADDEPALLI TANDA|YADGIR|KADECHUR|BADDEPALLI|585221
YADAGIRI|29331001103|GOVT HS BADDEPALLI|YADGIR|KADECHUR|BADDEPALLI|585221
YADAGIRI|29331001201|GOVT HPS BADIYAL|YADGIR|BADIYAL|BADIYAL|585221
YADAGIRI|29331002705|GOVT LPS CHANDRAKI|YADGIR|PUTPAK|CHANDARKI|585276
YADAGIRI|29331003607|GHS MOTANAHALLI|YADGIR|GAJARKOT|GAJARKOT|585214
YADAGIRI|29331003608|ADARSH HPS GAJARKOT|YADGIR|GAJARKOT|GAJARKOT|585284
YADAGIRI|29331001401|GOVT HPS BALCHED|YADGIR|BADIYAL|BALCHED|585221
YADAGIRI|29331003609|SWAMI VIVEKANANDA HS GAJARKOT|YADGIR|GAJARKOT|GAJARKOT|585284
YADAGIRI|29331004502|GOVT LPS URDU HALIGERA|YADGIR|ARAKERA(K)|HALAGERA|585321
YADAGIRI|29331004601|GOVT HPS HATTIKUNI|YADGIR|HATTIKUNI|HATTIKUNI|585202
YADAGIRI|29330812102|GOVT LPS BASAWANKATTI KAMNATAG|SHORAPUR|BALASHETTIHAL|KAMANATAGI|585291
YADAGIRI|29330812103|GLPS LAXMINAGAR KAMANATAGI|SHORAPUR|BALASHETTIHAL|KAMANATAGI|585291
YADAGIRI|29331005202|GOVT HPS HORUNCHA TANDA|YADGIR|ALLIPUR|HORUNCHA|585202
YADAGIRI|29330812104|GLPS SRIRAMNAGAR|SHORAPUR|BALASHETTIHAL|KAMANATAGI|585291
YADAGIRI|29331004602|GOVT LPS URDU HATTIKUNI|YADGIR|HATTIKUNI|HATTIKUNI|585202
YADAGIRI|29331002501|GOVT LPS CHELER|YADGIR|AZALAPUR|CHALER|585315
YADAGIRI|29331002601|GOVT  HPS CHAMANALLI|YADGIR|HONAGERA|CHAMANALLI|585202
YADAGIRI|29331004001|GHPS GOUDGERA|YADGIR|BALICHAKKAR|GOUDGERA|585221
YADAGIRI|29330823101|GOVT MPS THIMMAPURA|SHORAPUR|RANGAMPETH|THIMMAPURA|585220
YADAGIRI|29331005502|GOVT LPS URDU KAKALAWAR|YADGIR|CHAPELTA|KAKALWAR|585214
YADAGIRI|29331005601|GOVT HPS KALEBELAGUNDA|YADGIR|YELHERI|LALEBALAGUNDA|585315
YADAGIRI|29331005602|GOVT LPS KALBELGUNDA TANDA|YADGIR|YELHERI|LALEBALAGUNDA|585315
YADAGIRI|29330823102|GOVT HPS URDU BEECH MOHALLA|SHORAPUR|RANGAMPETH|THIMMAPURA|585220
YADAGIRI|29330823103|GOVT KANYA HPS THIMMAPURA|SHORAPUR|RANGAMPETH|THIMMAPURA|585220
YADAGIRI|29331004002|GLPS GOUDGERA TANDA|YADGIR|BALICHAKKAR|GOUDGERA|585221
YADAGIRI|29331004101|GOVT LPS GUDALGUNTA|YADGIR|MADAWAR|GUDALGUNTA|585315
YADAGIRI|29331003201|GOVT LPS DADDAL|YADGIR|BADIYAL|DADDAL|585221
YADAGIRI|29330823501|GOVT LPS GODRIHAL|SHORAPUR|KARDAKAL|GODRIHAL|585216
YADAGIRI|29330823601|LPS BASSAPUR|SHORAPUR|MARANAL|BASSAPUR|585237
YADAGIRI|29330823801|GOVT LPS DASANAGOTA ( T )|SHORAPUR|GEDDALMARI|DASANAGOTA ( T )|585237
YADAGIRI|29330823901|AIDEDLPS MAVINAGIDADA  TANDA|SHORAPUR|MARANAL|MAVINAGIDA  TANDA|585237
YADAGIRI|29330824001|GOVT HPS KADADARAL|SHORAPUR|RAJANKOLUR|KADADARAL|585291
