School_Code|acyear|Repeaters_C1_Boys|Repeaters_C2_Boys|Repeaters_C3_Boys|Repeaters_C4_Boys|Repeaters_C5_Boys|Repeaters_C6_Boys|Repeaters_C7_Boys|Repeaters_C8_Boys|Repeaters_C1_Girls|Repeaters_C2_Girls|Repeaters_C3_Girls|Repeaters_C4_Girls|Repeaters_C5_Girls|Repeaters_C6_Girls|Repeaters_C7_Girls|Repeaters_C8_Girls
29010204801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204802|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204803|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204806|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204807|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204903|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010204904|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
29010205001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205201|2011-12|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
29010205202|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4
29010205203|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205402|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205602|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205603|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205604|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010205901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206302|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206403|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206405|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|6
29010206406|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206407|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206707|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206709|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206712|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206713|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206714|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206716|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206717|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206718|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206719|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206720|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206721|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206722|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206723|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206724|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206802|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206803|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010206901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207002|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207103|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207104|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207105|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207106|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207107|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207108|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207109|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207110|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0
29010207201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207202|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207204|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207205|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207702|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207902|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207903|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207905|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207906|2011-12|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
29010207907|2011-12|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
29010207908|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207909|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
29010207910|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207914|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010207915|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208002|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208202|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208605|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0
29010208701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208702|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208703|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208802|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208803|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010208901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209001|2011-12|0|1|0|0|0|0|0|0|2|0|0|0|0|2|0|0
29010209003|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209004|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209202|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209302|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209303|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209304|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209305|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209306|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2
29010209307|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209308|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209401|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209403|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209404|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209406|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209408|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209409|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209502|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209602|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209701|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0
29010209803|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209806|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209807|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209808|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010209901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1
29010210201|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210202|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210301|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210501|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210503|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210505|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210506|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210601|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
29010210701|2011-12|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
29010210801|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210802|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210803|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210901|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210903|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010210904|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211001|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211101|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211102|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211103|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211105|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211106|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211107|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211108|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
29010211109|2011-12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
