schcd|acyear|Working_Days_Primary|Working_Days_UPrimary|Schoool_Hours_Children_Pri|School_Hours_Children_UPri|School_Hours_Tch_P|School_Hours_Tch_UPR|Approachable_by_All_Weather_Road|CCE_implemented|People_Cumilativere_Record_Maintained|PCR_Shared_with_Parents|Children_from_Weaker_Section_Applied|Children_from_Weaker_Section_Enrolled|Aid_Received|Chilren_Admitted_for_Free_Education|SMC_Constituted|SMC_Members_Male|SMC_Members_Female|SMC_Members_Parents_Male|SMC_Members_PArents_Female|SMC_Members_Local_Authority_Male|SMC_Members_Local_Authority_Female|SMC_Meetings_Held|School_Developmentplan_Prepared|SMC_Children_Record_Maintained|Chld_Enrolled_for_Sp_Training_Current_Year_B|Chld_Enrolled_for_Sp_Training_Current_Year_G|Spl_Training_Provided_Current_Year_B|Spl_Training_Provided_Current_Year_G|Spl_Training_Enrolled_Previous_Year_B|Spl_Training_Enrolled_Previous_Year_G|Spl_training_Provided_Previous_Year_B|Spl_Training_Provided_Previous_Year_G|Spl_Training_Conducted_by|Spl_Training_Place|spl_Training_Type|Tch_or_EVS_for_spl_training|Spl_Training_Material|Textbook_Received|Text_Book_Received_Month|Text_Book_Received_Year|Academic_Session_Start_in|MDM_Status|Kitchenshed_Status|MDM_Source|Days_Meals_Served|Meals_Served_Prev_Yr|Students_Opted_MDM_B|Stdents_Opted_MDM_G|Kitchen_Devaices_Grant|Cook_M|Cook_F|Inspections_by_SO|Inspections_by_CM
29020910901|2011-12|230|0|7|0|7|0|1|1|1|1|0|0|0|0|1|9|5|6|3|3|2|8|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|223|0|54|55|1|0|0|0|0
29020901504|2011-12|236|0|7|0|7|0|1|1|1|1|0|0|0|0|1|6|3|2|2|1|0|10|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|236|0|40|37|1|0|0|0|0
29020902201|2011-12|231|231|7|7|7|7|1|1|1|1|0|0|0|0|1|7|3|6|3|1|0|4|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|231|0|133|140|1|0|0|0|0
29020906904|2011-12|232|232|7|7|7|7|1|1|1|1|0|0|0|0|1|9|5|6|3|3|2|8|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|232|0|18|21|1|0|0|0|0
29220520301|2011-12|226|0|7|0|7|0|1|1|2|2|0|0|0|0|1|6|3|4|0|1|0|8|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|0|214|0|8|14|1|0|0|0|0
29111602703|2011-12|231|231|8|0|8|0|1|1|9|1|0|0|0|0|1|6|3|4|0|0|0|5|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|1|231|0|33|53|1|0|0|0|0
29260312403|2011-12|0|211|0|8|0|8|1|1|1|1|0|0|0|0|1|11|5|5|4|1|0|4|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|2|4|0|211|0|162|175|1|0|0|0|0
29260613401|2011-12|232|0|8|0|8|0|1|1|1|1|0|0|0|0|1|5|4|5|4|3|1|6|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6|2011|5|3|1|0|232|0|8|15|1|0|0|0|0
29260419101|2011-12|228|228|8|8|8|8|1|9|9|9|0|0|0|0|1|6|3|6|3|0|0|9|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|2011|0|3|1|2|228|0|88|75|2|0|0|0|0
29150322305|2011-12|0|224|0|5|0|6|1|1|1|1|0|0|0|0|1|6|3|6|3|0|0|3|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|5|2|1|1|224|0|99|73|1|0|0|0|0
29150500901|2011-12|228|0|8|0|8|0|1|1|1|1|0|0|0|0|1|6|5|5|4|1|1|8|1|1|0|0|0|0|0|0|0|0|0|0|0|0|2|1|5|2011|5|3|1|1|228|0|13|10|1|0|0|0|0
29130301101|2011-12|227|227|7|7|7|7|1|1|2|2|0|0|0|0|1|9|5|6|3|0|0|9|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|1|217|0|80|47|2|0|0|0|0
29130304702|2011-12|225|0|7|0|7|0|1|1|1|1|0|0|0|0|1|4|4|4|4|0|0|11|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|3|1|1|225|0|9|7|1|0|0|0|0
29130310101|2011-12|227|227|7|7|7|7|1|1|1|1|0|0|0|0|1|9|6|6|3|3|1|5|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|5|2011|5|3|1|1|227|0|32|38|1|0|0|0|0
29130309210|2011-12|30|30|7|7|7|7|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|6|2011|5|9|2|9|0|0|0|0|9|0|0|0|0
29220415304|2011-12|236|236|8|7|8|8|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|2011|5|1|2|0|0|0|0|0|2|0|0|0|0
29150318901|2011-12|232|232|6|5|6|6|1|1|1|1|0|0|0|0|1|6|3|6|3|0|0|9|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|5|3|1|1|232|0|84|81|1|0|0|0|0
29150323001|2011-12|229|0|6|0|6|0|1|1|1|1|0|0|0|0|1|6|3|6|3|0|0|6|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|5|3|1|1|229|0|14|10|1|0|0|0|0
