'HEIRARCHY','DISTRICT','PROJ/BLOCK','CIRCLE/CLUSTER','ID','SCHOOLNAME','CATEGORY_DESC','MP CONST.','MP NAME','MLA CONST.','MLA NAME','WARD','CORPORATOR',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',34135,'GOVINDAPURA 3','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K J GEORGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',34132,'GOVINDAPURA 2','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K J GEORGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',29688,'ANANDA PURAM 1','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','C.V RAMAN NAGAR','S. RAGHU',118,'CHANDRA SHEKAR',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',34128,'GOVINDAPURA 1','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K J GEORGE',23,'IRSHAD BEGUM',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',34131,'ANANDAPURA 1','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','C.V RAMAN NAGAR','S. RAGHU',118,'CHANDRA SHEKAR',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','MURPHY TOWN',34115,'SHIVAJINAGAR','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','SHIVAJI NAGAR','R.ROSHAN BAIG',78,'ISHTIYAQ AHMED',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','SULTANPALYA',34119,'YASIN NAGARA','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','SARVAGNYA NAGAR','K J GEORGE',29,'PADMANAB REDDY',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','SULTANPALYA',34118,'SHIVAJINAGAR 1','INDEPENDENT  BALWADI','BANGALORE CENTRAL','P.C MOHAN','SHIVAJI NAGAR','R.ROSHAN BAIG',78,'ISHTIYAQ AHMED',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','KODIGENAHALLI',35473,'MATHIKERE','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','MALLESHWARAM','DR.ASHWATH NARAYAN',36,'MUNISWAMY',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','MAKALI',35331,'LAKSHMI PLAY HOME','INDEPENDENT  BALWADI','BANGALORE NORTH','VEERAPPA MOILI','YALAHANKA','S.R VISHWANATH',156,'THIMA GOWDA',
