"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC"
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Dodda Banaswadi', 34161, 'SUGAR MANDI 1', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Kadugondanahalli', 30465, 'DARGA MOHOLLA', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Kadugondanahalli', 30470, 'BYRASANDRA', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Kadugondanahalli', 30583, 'BRUNDAVANANAGARA', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Kadugondanahalli', 31277, 'VEERANPALYA', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Kodihalli', 29645, 'ANANDA PURAM', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Kodihalli', 34133, 'G.M PALYA 1', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Kodihalli', 34134, 'SULTHAN PALYA', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Koramangala', 30471, 'E.W.S QUERTERS', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Rajendranagara', 30375, 'L R NAGAR', 'Anganwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Sultanpalya', 34125, 'AMBEDKAR COLLEGE', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'Sultanpalya', 34152, 'JANI BI COMPOUND', 'Independent  Balwadi'
'PRESCHOOL', 'Bangalore', 'Sumangali seva Ashrama ', 'spoorthi', 29602, 'JEEVANBHIMANAGAR', 'Anganwadi'
