"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC","MP Const.","MP Name","MLA Const.","MLA Name","WARD /GRAMA PANCHAYATHI","CORPORATOR/PRESNT of panchayithi"
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34062,"MOODALAPALYA - 4","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34101,"JAGAJEEVANARAMNAGARA","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",31352,"MUSLIM BARIYAL GROUND","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34080,"MUDALAPALYA","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30342,"WAMIKINAGAR 1ST CROSS","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34095,"KASTHURI BA SEVA SANGA","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30417,"AYYAPPA SEVA SANGA 2","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",31484,"VINYAKA NAGAR","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30423,"GORIPALYA","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34055,"MOODALAPALYA - 1","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",34063,"PADARAYANA PURA 2 ND","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",31527,"PADARAYANA PURA-3RD","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30460,"ARAFATHNAGAR 1","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netaji 2nd Circle",30458,"ARAFATHNAGAR","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Netravathi",34105,"TIMBARYARD SLUM","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",34096,"CHOLURPALAYA","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",35115,"ARUNDHOTHINAGAR","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30431,"NAYANDANAHALLI","Anganwadi",,,,,,
