"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC","MP Const.","MP Name","MLA Const.","MLA Name","Ward","WARD NO","Corporator"
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",33868,"THARABANAHALLI 2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",33826,"CHOKKANAHALLI 2","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",30840,"SHETTIGERE","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",31501,"AGRAHARA BHOVIPALYA","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",31499,"CHIKKANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",31305,"BYNAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",34005,"SHETTI GERE II","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",30846,"HUTTANAHALLI","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",31537,"RANGASWAMY CAMP","Anganwadi",,,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Chikkajala",30595,"BELLAHALLI","Anganwadi",,,,,,,
