'TYPE','DISTRICT','BLOCK','CLUSTER','ID','SCHOOLNAME','CATEGORY','MP CONSTITUENCY','MP NAME','MLA CONSTITUENCY','MLA NAME','WARD NAME','REPRESENTATIVE CORPORATER','WARD NO'
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',30466,'GORIPALYA SOUTH',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',30473,'GORIPALYA 6',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',30619,'OLD PENSION MOHALLA',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',31384,'GORI PALYA NORTH',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',31426,'GIRIPURA 1',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',31432,'GORIPALYA 2ND',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',31467,'TIMBERYARD SLUM',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',34045,'BHAKSHI GARDEN -3',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KUVEMPUNAGAR 4TH CIRCLE',30630,'F/A NAGAR 2',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',30342,'WAMIKINAGAR 1ST CROSS',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
